vocabulary,pos_freq,neg_freq
jtg,0,1
melt,20,23
abdomen,0,1
quottatu,1,0
lettuc,3,3
lebanon,1,2
acl,0,3
lr,0,1
respiratori,0,2
krauss,1,0
afternoon,166,113
simplydrop,1,0
jool,1,1
loosien,1,0
dalegaci,0,1
dust,7,14
boral,1,0
curs,8,29
cougher,0,1
shawti,1,1
amaiz,1,1
beethoven,4,2
bamboozl,3,19
pini,1,0
zit,0,2
resembl,2,1
nhiu,0,1
cuda,0,1
vox,1,0
drumkit,0,1
yvan,1,0
familia,2,0
inertia,1,0
323,1,0
marco,4,1
evryday,1,0
pregnant,10,12
twitip,2,0
bah,3,44
tehn,1,0
trident,3,2
backlog,1,2
outed,0,1
bizarro,1,0
ethan,5,2
stou,0,1
sleeeeeeeeeeep,0,1
svn,1,1
grotti,0,1
madagascar,1,0
daycamp,1,0
dau,1,0
ensembl,1,1
partyyyyyyyyyyyyyyyy,1,0
tee,19,5
cofe,2,0
metaphoricol,1,0
cheesecak,8,5
nc10,1,0
ryman,1,0
camilo,1,0
wolverhampton,2,3
syntax,3,0
lancast,0,1
bech,1,0
othr,0,4
pasedena,1,0
mysha,1,0
tmbg,0,1
atcha,4,2
varini,2,0
ooorhh,0,1
yesssss,5,0
major,42,62
gsce,0,1
attn,0,2
fraid,0,1
frat,0,3
finis,1,0
strive,2,0
eater,2,2
boohoohoozx,0,1
dlna,0,1
basejump,1,0
chur,2,0
wigan,1,1
downfal,1,7
fiesti,1,0
cheif,1,0
confranc,0,1
hydrangea,1,2
koz,0,1
layn,0,1
hjerlkrjk,0,1
quotraco,0,1
nme,1,0
phong,0,1
school,439,1337
isabeau,0,1
bong,3,0
ruko,0,1
mack,3,0
maaaaaan,0,2
vaig,1,0
microcontrol,0,1
pinocchio1940,1,0
t1i,0,1
caaalm,0,1
zenith,0,1
deer,5,6
kerchoonz,0,1
wildcard,0,1
usendit,0,1
d0nt,0,2
stirl,2,2
glawster,0,1
corbin,0,1
prime,9,3
groan,2,1
palli,0,3
veryyi,1,1
ghettoooooooo,1,0
x5,0,2
disloc,2,3
jolla,1,0
ipon,1,0
thor,0,2
mol,1,0
hama,1,0
nigga,2,7
giat,0,1
aaaah,5,6
girll,1,0
slomo,0,1
aahahahha,1,0
horsham,0,1
dropbox,3,2
hodinki,1,0
cuckold,1,0
feelingg,0,1
duhhrg,1,0
thhhhoooonggg,1,0
degga,1,0
annddd,1,0
laugghh,0,1
sur,5,3
spazz,3,1
arigat,1,0
donna,0,1
wuu2,1,0
schwimmer,0,1
plumb,1,3
technologist,2,0
eardrum,0,1
gandhi,3,0
burgl,0,2
consum,11,9
aiko,0,1
dribbley,0,1
errrrrrryyoonnn,1,0
errthinggg,1,0
thorax,1,0
sailormooncomiccollect,1,0
nark,0,1
unfit,0,2
kiteboard,1,0
gladston,0,1
ced,1,1
chicori,0,1
vandaag,0,1
phat,0,1
gon,609,717
exceedingli,1,0
sonya,1,0
picknick,1,0
cinnomin,1,0
merrick,2,1
derail,1,1
johor,0,1
tanka,2,0
siya,1,1
mjpic,1,0
freezin,0,2
individu,7,5
collab,3,0
isadora,1,0
reoccur,0,1
tasman,0,1
ani,2,0
tooth,6,54
btw,217,97
teee,1,0
lupu,0,2
quoth,7,4
bigski,1,0
barbado,2,2
driest,0,1
sonni,8,7
flawless,3,0
todd,10,6
ruthi,2,1
wdybt,0,1
unwieldi,0,1
coff,7,2
toothfairi,1,0
sadddddd,0,1
stinkxxxx,0,1
malamig,1,0
bibliographi,1,0
region,6,5
frienfe,0,1
bizzzack,0,1
sak,1,0
biiiiiitch,0,1
anoyi,0,1
zippi,1,1
dftba,1,0
securom,0,1
brows,10,7
roadblock,1,0
e71,3,7
miso,1,1
pikacha,1,0
futon,1,1
ruislip,1,0
procrastinatioin,1,0
beau,2,5
accidd,1,0
eekk,1,0
madee,1,0
drown,5,19
noowowowoow,1,0
housemartin,1,0
dubz,4,2
bora,5,2
looov,7,4
defeat,9,4
justta,1,0
cartman,1,0
flashden,2,0
twitterbreak,0,1
havd,0,1
conscious,0,2
reedem,1,0
knife,8,3
gonzalez,0,1
ugggghh,0,1
anoymor,0,1
exacerb,2,2
phish,4,1
traumat,1,5
ltd,2,0
yellowcard,1,0
compliat,0,1
glamar,1,0
1991,1,0
reup,0,1
jin,0,2
pocket,11,19
stealin,0,1
hollywood,13,3
asztaln,1,0
amazzzz,1,0
yuf,1,0
formal,10,7
vivek,0,1
hiqh,0,1
whattt,1,1
liyana,1,0
prouddd,1,0
pul,1,0
quottrang,0,1
waheh,1,0
wilder,2,1
halv,0,1
nigel,2,2
reverend,0,1
socal,6,4
ruca,0,1
hav,15,34
plenti,29,9
heyyyyyyyyyyyyy,1,0
lobe,1,1
dodo,0,1
950,1,0
lenovo,1,2
uhmmm,0,1
nonexist,0,2
gase,1,0
smoosh,1,0
knacketi,1,0
fleamkarket,0,1
pilsburi,1,0
aiport,1,0
samedi,1,0
kaci,1,0
supernaturalbut,1,0
ohhhlalala,0,1
linksi,1,1
prakata,2,0
quito,0,1
pepol,1,0
templat,7,9
bon,14,2
midget,1,4
grayskul,0,1
diddi,20,9
quotag,0,1
strengthen,0,1
embarass,4,5
outcom,1,8
caribean,0,1
itsi,1,1
caerphilli,1,0
iscap,1,0
journal,13,17
facelong,0,1
lauper,0,1
airwav,1,1
lynden,0,1
plurk,16,6
numer,1,1
gerad,3,0
dudelet,1,0
lemonad,13,4
helllooo,1,0
royc,2,0
swimsuit,1,1
aquarium,2,5
baron,1,1
sudirman,0,1
agrr,1,0
papi,1,0
maguir,0,1
sommat,0,1
hapnin,0,1
whyyi,0,5
gillywillykin,1,0
blea,0,2
whyyyyyyyy,0,3
corr,0,1
leninist,0,1
sfo,0,4
locust,1,0
rappel,0,1
noack,0,1
monsoon,2,2
snaffl,0,1
fcp,1,0
hayk,1,0
isa,3,0
lifesav,0,1
ralph,1,1
solitari,1,1
cheez,5,0
like,2583,2549
bmore,0,3
melodica,1,0
pamela,2,1
sooooooooooooo,2,0
fcukin,1,0
weirder,0,1
pode,1,0
aamaz,1,0
startin,2,2
yin,2,1
waywion,1,0
scabbi,0,1
ensu,3,0
surveypir,1,0
peewe,2,0
clawdi,1,0
tiei,1,0
nautiou,0,1
belgrad,1,0
jovon,1,0
chicago,41,53
salut,10,0
occur,6,10
enternship,1,0
norri,1,2
michl,1,0
outro,0,1
timesssss,0,1
scale,6,4
divacup,1,0
skateprk,1,0
4,28,37
nola,2,2
vinternoll2,1,0
shore,4,7
braeburn,1,0
marvvv,1,0
unpack,9,13
tartu,2,0
fallow,1,0
grenn,1,0
hiragana,0,1
wompp,0,1
idp,1,1
polka,4,0
rossann,1,0
receptionist,1,0
mathpew,0,1
illustr,3,8
wootton,1,0
lnefrmn,1,0
irc,3,5
congratz,2,0
woobi,1,0
opteron,1,0
maksudnya,1,0
output,2,2
trainwreck,0,1
vsaartsga,1,0
l8r,0,7
feeder,3,0
paintbal,3,4
guurl,0,2
bamford,0,1
pimm,0,1
macthraw,0,1
jtek,1,0
stragetist,1,0
becoz,1,2
tearoom,1,0
yeeee,2,2
isrealit,1,0
broha,0,1
balv,1,0
trenchcoat,0,1
glasshous,1,0
tijuana,1,1
rant,14,7
quizzl,0,1
regent,2,1
sultri,1,0
deriv,1,0
infect,4,76
slleeepp,0,1
whim,2,0
promost,0,1
mancarea,1,0
ghostland,1,0
quo,1,0
boyanc,1,0
favor,16,7
chamber,3,1
05,2,4
sezdawg,1,0
hinduism,0,1
eastbourn,0,1
carolina,13,11
benefici,1,0
orr,1,0
sharpi,0,1
shd,5,1
camaro,0,1
carino,1,0
bertinelli,0,1
baseship,1,0
wheel,15,25
gcc,0,1
concerto,2,2
objectifi,0,2
gonner,0,1
shirou,0,1
segfault,0,1
ermmmm,1,0
gmail,13,17
survivor,4,2
absolut,118,64
milt,2,0
esti,0,1
tomoro,2,12
mcwing,1,1
musiq,1,0
creat,63,42
conic,2,0
fancytim,1,0
okii,0,1
amsterdan,0,1
hairrrr,1,0
drozi,0,1
drum,16,15
cellm,1,0
bruis,4,24
thatttt,1,0
s05e21,1,0
busco,0,1
randomest,1,2
armano,0,1
resit,0,1
kbi,0,1
pool,57,35
aintcha,1,0
racketbal,0,1
cs193p,0,1
rosci,0,1
hatchin,1,0
nooooot,0,2
int,2,7
grt,3,0
connect2mum,1,0
esprisini,0,1
pw,4,1
sexiest,3,2
leopold,1,0
poke,8,7
rey,1,1
interst,4,1
byl,1,0
margarhita,0,1
sturb,1,0
shithol,0,3
mal,2,1
lazboy,1,0
memoriesaran,0,1
jdepp,1,0
amityvil,1,0
sluggo,1,0
wreckless,0,1
monoton,2,0
flattr,1,0
uninstallng,1,0
cli,2,1
exec,1,1
rocquestar,1,0
haze,0,1
zonk,2,0
tucson,6,0
uncoop,0,1
sampler,2,1
town,89,120
evo,1,2
hob,10,4
biblic,3,0
aiea,1,0
outgrown,1,0
kona,1,0
abfab,1,0
primmi,1,0
hornbi,0,1
budget,16,19
mykenzi,1,0
yola,0,1
vascular,1,0
shiit,1,0
cbr600rr,1,0
warden,1,1
nothingg,0,1
nowni,1,0
knopfknopf,1,0
kinikilig,1,0
darll,0,1
loooooooov,3,0
nawala,0,1
steadili,1,0
icce,0,1
emirgan,0,1
csv,1,0
entourag,3,1
irrepar,1,0
viceversa,1,0
chihuahua,2,5
patio,9,7
eggi,0,1
vocabulari,2,0
nakatalikod,1,0
unfortuanlti,0,1
deborah,0,1
desev,1,0
squeak,1,3
udi,1,0
assrat,0,1
yanelo,0,1
anyb,1,0
excederin,0,1
lanna,0,2
savior,3,0
overthrow,0,1
avitabal,1,0
signoff,1,0
anavah,0,1
rach,5,7
drool,12,6
lushhhh,1,0
goal,30,17
kaviti,0,1
price,45,45
dragonbal,2,1
laughhh,1,0
goofi,5,1
accustom,0,1
evrybdi,1,1
deorat,1,0
shorti,0,4
bernier,1,0
aamir,1,0
smashbox,1,0
cunego,0,1
voddi,2,0
leanzack,1,0
bonita,1,0
ciggarett,0,1
ron,13,5
ohmygodaa,1,0
bitbim,0,1
scotsman,1,0
vibrat,4,3
aiyaz,0,1
pickless,1,0
zulu,0,1
scholar,1,0
shaaaabooya,1,0
bollix,0,1
pedro,2,0
tree_house_kid,1,0
studyign,0,1
jennnymayi,0,1
offf,0,2
loll,5,3
aqui,2,0
kyjiw,1,0
frost,8,5
aqward,0,1
marinaaa,0,1
knihe,0,1
bec,1,2
muahhhz,1,0
lfe,0,1
coglab,0,1
dtg,1,1
juska,1,0
quotlit,0,1
kryptonian,1,0
exciiit,0,1
thigh,1,2
sonata,0,1
shiet,0,2
textm,0,1
connectioon,0,1
rdddi,0,1
scapey,1,0
amaz,572,163
paraphras,1,0
danceabl,1,0
coalit,0,3
ie6,1,5
aldura,1,0
underachiev,1,0
roomba,1,0
ero,0,1
mayynn,1,0
goodknight,0,5
frontal,1,0
dannywood,1,0
jashley,0,1
hmmmm,16,19
headset,3,5
grammer,0,2
quotroject,1,0
scissor,0,6
machok,0,1
houd,1,0
rhaid,0,1
pita,2,3
hillbilli,4,0
malon,0,1
fough,0,1
taaaasti,1,0
unrecover,0,1
exittedddd,1,0
telemax,0,1
cube,8,5
elis,3,2
adoresss,1,0
tortilla,2,1
sugimoto,1,0
botom,0,1
pud,5,11
williamson,1,0
possess,1,5
alla,0,1
cbr,0,1
uhg,1,2
streak,6,3
fost,2,0
backrond,1,0
asl,1,1
outen,1,0
zambal,0,1
ggui,2,0
rl,5,3
worldwid,4,2
buzzcock,1,1
cuuuut,1,0
chiro,1,0
chuyn,1,0
laney,0,4
progz,1,0
pave,0,2
buhhhh,1,0
plotarc,0,1
outhous,0,1
zuko,0,1
darkest,3,1
heebi,0,1
peaceful,1,0
shweet,1,1
dialup,1,1
dozen,6,7
lolz,13,12
gettinn,1,0
balay,0,1
colonel,1,0
checkbook,0,1
firewatir,0,1
lammmm,0,1
wot,7,12
wotc,1,0
bearabl,1,3
aaah,9,8
granma,1,0
hollywwood,1,0
teknisk,1,0
aguilera,2,0
stoagi,0,1
strangelov,1,0
amrica,1,0
panel,13,10
chilli,21,27
jujub,1,0
kschocolat,0,1
maaannnnyyyy,0,1
________,0,1
billi,10,12
catherin,1,0
migon,2,0
domest,9,3
k9,1,2
trimest,3,0
mlm,1,0
malpractic,1,0
leno,2,3
forshur,1,0
dirkmai,1,0
floku,0,1
niqqa,2,0
checksid,0,1
tko,0,1
waaaay,5,8
braci,1,0
overheatedd,0,1
eco,4,3
zoey,1,0
eeck,1,0
apr,3,4
stinl,0,1
mcgangbang,1,0
pbt,1,0
pdt,3,1
drawer,2,5
hungryyi,1,1
mainli,7,5
satur,0,2
obscen,1,1
suuucckkk,0,1
expectd,0,1
restless,1,10
low,36,71
toe,25,39
armey,1,0
levit,0,1
cri,74,389
albert,4,0
gete,1,0
copeland,0,1
niix,1,0
hari,0,1
chuckl,6,0
procrastin,16,34
sniffer,0,1
deessss,0,1
tellmee,0,1
baaah,0,1
spawn,1,1
nurseri,1,4
roxx,1,1
paracetomol,0,1
bailey,7,7
dies,1,0
backup,19,14
hot,268,365
shorter,5,4
leichhardt,1,0
clout,1,0
nez,1,0
camb,1,0
floss,1,3
bioengin,1,0
trough,1,0
inscur,0,1
shizzli,1,0
endeveraft,1,0
cook,119,74
satan,2,2
cuando,1,1
ryt,1,1
por,6,6
thankyouuu,2,0
deana,1,1
meowwwzzz,0,1
boogi,2,0
rooster,0,6
skillz,2,4
peni,8,3
hitokyri,0,1
good_housewif,1,0
vomittng,1,0
reblog,1,1
mathew,1,1
bola,1,0
dora,0,6
yiayia,1,0
debussi,1,0
huuuuug,0,1
foreward,0,2
dakota,0,6
choca,0,1
magoo,2,0
ontd,1,4
vibraphon,1,0
slame,0,1
auftritt,1,0
woosh,1,0
barclay,0,1
collag,4,4
sophist,3,3
goinngg,1,1
erot,2,0
ezdeeeee,0,1
jfk,2,0
sortd,0,1
norbert,1,0
awh,14,14
aacount,0,1
powerrak,0,1
youto,1,0
goneeeeeeeeeeeeeee,0,1
mooolteeepass,1,0
playlist,22,14
quest,13,9
ingrown,0,1
popcorn,14,6
weapon,5,4
eloqu,0,1
abund,8,2
lit,6,10
ulcer,1,10
blatant,1,1
sl0wz,0,1
fhain,1,0
ferb,2,0
part1,1,0
mango,20,4
descent,0,1
brokern,0,1
merch,1,4
waaaaaaaaaaaaaaaaaaaaaaaah,0,1
harlot,0,1
subvert,0,1
thought,364,378
quotmar,1,0
christan,0,1
hashbrown,1,0
stupid,61,333
stig,1,0
kc,4,4
codez,0,1
goooodddd,1,0
canjet,0,1
rudi,2,2
isssuesssss,0,1
wrath,1,2
akila,0,1
loveit,1,0
pllleaas,0,1
sledgehamm,2,1
butch,0,1
ramalama,1,0
blackfriar,1,0
somebodi,30,46
awak,135,294
precipit,0,1
blew,5,21
btn,2,0
whenev,26,20
boooooh,1,0
newsgroup,0,1
dusnt,0,1
identica,0,1
vakay,0,1
doooo,2,1
mizzzzz,0,1
absynth,0,1
pbnjen,1,0
fienn,1,0
agghhhh,1,0
jjesu,0,1
bonc,0,1
ptwittytv,0,1
duti,14,24
leti,1,0
amtrak,0,1
torax,0,1
roof,11,12
seriousi,1,0
penultim,0,1
calori,9,14
lakewood,3,1
no1,3,6
pismo,0,1
wga,0,1
tour,133,113
damjoooooo,0,1
edgefield,1,0
docx,0,1
chapstick,2,3
wbuyou,1,0
yia,2,2
oleday,1,0
stanford,2,3
laaaaam,0,1
ndog,0,1
weari,1,1
colourshift,1,0
grand,33,30
degener,3,0
dreamz,1,0
aaaaaaand,1,0
differnt,1,1
orl,0,1
founnnnd,0,1
headov,1,0
patchi,1,0
jurass,1,2
manouv,0,1
butterbun,0,1
imped,0,1
biog,0,2
cuntsicklw,1,0
travellerspoint,1,0
junction,0,2
moviess,1,0
onset,0,1
evur,1,0
merman,0,1
tali,1,0
minimalist,3,0
ppt,0,1
sigrid,1,0
bib,2,0
brum,1,2
might,291,280
raylenesongbird,1,0
bugg,1,0
tonighttttttttt,0,1
usss,1,0
proceed,1,2
avocardo,1,0
ano,2,2
neei,0,1
geoff,3,2
unei,1,0
bangalow,1,0
hairti,1,0
justif,1,0
weit,1,0
weeeeeeh,1,0
hahahahahahahahahahaha,0,1
scarier,0,2
wadda,0,2
makan,2,1
fuk,3,1
quotuboptim,0,1
eisom,0,1
faa,0,1
desper,20,39
tsx,1,0
waterproof,0,1
agh,3,12
ksloss,1,0
tellison,1,1
whoh,0,1
museum,20,10
queimar,1,0
rayss,1,0
quilt,3,3
southsid,0,3
bbyshow,1,0
andoy,1,0
dimsum,1,1
nooooooooooooooo,0,3
niley,3,0
squatter,0,2
earlyyyy,1,0
every1,12,13
papaya,2,1
whatchin,0,1
cupcakkkk,1,0
said,261,260
hasi,1,0
spcrew,1,0
jre,0,1
tarmac,0,1
swt,0,1
a7,0,1
sumthn,2,0
860,0,2
fhagdjk,0,1
brenna,1,0
c5am,1,0
seeee,2,0
engageddddddd,1,0
sandal,6,7
gwen,0,1
orea,1,0
dermani,1,0
uppivil,1,0
yiu,0,1
wear,123,128
sialaaaaaaan,0,1
simm,1,0
kiya,1,1
explosm,1,0
orvieto,1,0
katieeeeeeeeeeeeeeee,0,1
londonnnn,1,1
rua,2,3
lomo,1,0
quack,2,0
kn0w,1,1
wooooww,0,1
cantabil,1,0
terrorist,3,2
grouchi,0,4
memo,5,1
atp,0,1
shovel,5,4
carley,1,1
eyeko,1,0
southwest,0,1
malici,0,4
noramlli,0,1
lexyyi,1,0
pott,0,1
tragicos,1,0
godbless,1,1
gayyy,1,1
viao,0,1
automat,13,7
singlet,0,1
ulimit,1,0
bbchick,0,1
gryffindor,0,2
whitout,0,1
ughhhh,0,16
twitta,1,2
gotsa,1,0
lucki,141,118
docblock,0,1
hac,0,1
thier,3,6
sweeta,1,0
mylilmanalex,0,1
cannuck,1,0
wok,1,0
zach,4,5
birtday,0,1
belinda,1,0
tweeplecard,1,0
plano,1,1
prefac,1,0
x208085258523,1,0
internetz,0,2
longgggg,0,1
senseo,0,1
eyelash,2,1
seryna,1,0
idnw,0,1
tutor,6,7
orig,0,2
wade,5,1
xinwei,1,0
review,70,43
boreddddddddddddd,1,0
radio2,0,1
gedebag,1,0
miw,0,1
postpon,2,11
tem,2,0
utensil,1,1
hectic,9,6
flipvid,1,0
snuff,2,0
encor,5,0
pleaseeeeee,0,1
porscha,1,0
orlan,0,1
karawaci,0,1
triumphant,1,0
madre,1,0
cet,0,1
domini,1,1
robyn,5,1
dostand,1,0
connecton,0,1
santiago,1,0
haaaaaaaaaaaaaaaaaaaaaappi,1,0
yor,1,0
sorrii,0,1
panick,0,5
central,19,10
hatesss,0,1
sanjaya,1,0
totur,0,2
raisin,3,3
flutter,6,1
someonetel,0,1
torcher,1,2
jari,0,1
jacqui,1,0
atmospher,5,2
liveblog,1,0
superrr,1,2
shagabl,1,0
age,84,90
overstimul,1,0
uvers,1,0
vroom,1,0
wholefood,1,2
haih,0,1
except,60,97
imm,1,4
crue,1,1
teaaaccchh,0,1
jergen,0,1
tweetdeckk,1,0
second,128,117
cycle2work,0,1
bournemouth,4,2
aaaaaaaaaaaag,0,1
carboy,1,0
sabrina,1,4
kinakabahan,0,1
fighter,6,7
peso,1,0
goddess,6,2
llcoolj,1,0
winter,30,72
flashh,1,0
bloxx,0,1
yur,6,3
jeb,1,0
evas,1,0
liechtenstein,1,0
ahhhhhh,2,5
luvn,1,0
scare,40,132
meliha,2,0
embarras,2,2
southern,7,6
s2c,0,1
marl,1,0
hazm,1,0
sticker,7,5
badminton,3,5
horsi,0,1
smuggl,2,0
greensboro,1,2
korea,8,7
chambana,0,1
addicti,0,1
celebratori,1,0
ono,1,0
eden,4,5
drummer,3,8
vivienn,1,1
sledg,0,1
hariet,0,1
gooner,0,1
dssertat,0,1
yuckkay,0,1
caiti,0,1
ninetydegreesliv,1,0
sooner,10,20
yoooou,0,1
bankrol,0,1
bbf,2,0
roxett,1,0
quotng,1,0
ooohhh,1,3
filmgeworden,1,0
brochur,3,2
composit,2,1
thur,10,24
die,91,380
arghhhh,0,9
hogi,1,1
oliehoek,1,0
sean,15,16
ouuuch,0,1
tisu,2,0
rocki,9,12
atg,1,0
wonderwoman,1,0
throwin,1,2
homo,7,2
youuuuuuuuuuu,1,0
laaaaaaaaammmmeee,0,1
saludo,2,0
tweetbook,1,0
waimea,1,0
baffl,1,1
yeovil,0,1
chiquatito,1,0
ot,10,5
mass,23,12
dim,4,6
spek,0,1
obnoxi,3,8
destress,1,0
deplurk,0,1
shoulda,5,13
quottupid,0,2
clan,2,0
ftfl,0,1
linney,1,0
teach,42,25
commiss,1,8
dern,0,1
meal,40,15
vouch,1,0
aubrey,4,3
nyte,0,4
spoongraph,1,0
tranfer,0,1
select,10,14
invas,3,0
oak,5,3
niqu,1,0
sqidard,1,0
kingdomheart,1,0
wath,1,2
shontel,1,0
cramp,0,22
nighter,7,13
tinchi,1,3
oopp,0,1
peacock,3,3
whatz,1,0
sarni,4,4
sunbrun,1,0
gpa,0,4
enig,0,1
gonnna,1,0
bail,5,15
funweekend,1,0
tron,6,1
draw,47,38
aoif,0,1
pollock,1,0
pecan,1,2
puto,0,1
vgh,1,0
hmn,0,1
fern,7,7
undisturb,1,0
klinsmann,1,0
deaaar,0,1
x320,0,1
nate,5,6
heeeey,4,3
mouss,1,2
depo,1,0
tellafriend,1,0
moo,5,6
chewi,1,1
poli,2,4
tyre,0,8
noggin,0,1
jiggli,1,0
final,566,427
ckin,1,0
bustl,1,0
dong,14,3
woodgrain,0,1
_if,1,1
wooooooooooooooooooo,1,0
overheard,2,0
thnx,30,15
vma,0,1
04,8,3
tabi,0,3
amen,15,4
newli,5,3
rearang,0,1
hignfi,1,0
luca,7,7
miley,111,50
tweopl,3,1
ttr,1,0
sex,44,26
alch,0,1
terrig,0,1
anett,1,0
eww,5,23
eggless,0,1
ravag,0,1
f5,1,0
pesach,1,1
mccarthi,0,2
wyvern,1,0
joos,1,0
officialdh,1,0
hia,2,0
famous,0,1
tablet,6,9
cayle,0,1
thinkinggg,0,1
barrier,2,1
mobi,3,3
picturesssss,1,0
frenchi,1,2
whatta,6,3
arent,7,29
bhaiya,0,1
echocardiogram,1,0
orthot,1,0
vrrrrrrrrrrrroooooomm,1,0
uteru,1,2
tantrum,5,2
drove,17,20
propper,0,1
micahela,0,1
typic,12,24
disput,0,3
mummyy,0,1
bgluxurybandb,1,0
devianart,1,0
gaga,21,20
dfor,1,0
atalk,0,1
skycoast,1,0
awwrrit,1,0
goku,1,1
guyss,1,0
munka,1,0
cleudo,1,0
empress,2,0
magar,1,0
qik,2,0
err,10,7
nuthhiinnkkk,0,1
nissan,1,1
buuuuuuuurrrrrrrrrrrrpppppppp,1,0
buatan,1,0
twittermaniac,1,0
someoen,0,1
hab,4,4
refere,1,1
thia,1,0
katla,1,0
fffffffuuuuuuu,0,1
paye,0,1
slither,0,2
razor,0,3
raver,1,0
maalaala,0,1
ic3d4lif,1,0
briefli,2,4
chien,0,1
carrier,2,3
mv,3,2
fascin,9,1
kelti,1,1
cxtn,1,0
schedual,0,1
cluster,3,3
held,15,9
katsu,1,0
balik,1,2
rez,0,2
kronenbourg,1,0
drin,1,0
aghhh,1,5
reader,16,21
cool,680,237
incid,2,4
sens,58,32
row,32,47
figlarski,0,1
calvert,0,1
parent,72,103
vaselin,1,0
peic,3,0
bonu,15,6
naiv,2,2
supernatur,6,6
ck,6,3
rural,0,5
hickori,1,0
twitterr,2,0
wooowwwwwwww,0,1
hadley,0,1
rckstr,0,1
dale,3,7
ludovico,1,0
furnatur,1,0
18am,1,3
britiain,0,1
brampton,1,0
syay,1,0
lakin,0,1
ro,5,2
alc,1,0
heath,1,8
bedi,1,0
alienwar,0,1
cruis,23,20
shank,2,2
depli,0,1
iappar,0,1
weho,1,1
font,5,8
brisk,1,0
kinabalu,1,0
halb,2,0
creek,10,3
stasha,1,0
immun,1,8
dresser,2,0
inconveni,1,2
chelsea,13,21
overcast,3,12
fascian,1,0
goiin,1,0
widow,1,2
subsequ,2,3
yore,0,1
phase,5,8
nyeheheh,1,0
engaga,1,0
comtempl,1,0
nsynccc,1,0
savhanna,0,1
wifey,8,11
answer,118,120
reaallli,0,1
knocker,1,0
gagawin,0,1
felic,3,6
youknoww,1,0
and3,0,1
huhuu,0,1
myspacewhor,1,0
reali,5,10
shay,1,0
genrat,0,1
goddamn,1,11
kinley,1,0
rosco,3,4
reivanna,0,1
filth,1,1
capric,1,0
availi,0,1
huey,1,0
wheaton,0,1
shleep,0,1
blahblahblah,0,1
acc,1,2
scorecard,1,2
victori,16,4
chool,0,1
nne,0,1
weve,2,2
sheppard,1,0
pimpl,1,5
deerhunt,1,0
mauldin,1,0
pancrea,0,2
autumn,12,4
soemth,0,1
melo,1,0
msysgit,0,1
nonono,2,0
tnytnytnyt,0,1
sssh,0,1
justic,3,7
spagitti,1,0
waterpark,1,0
choic,58,31
recognis,4,3
letterfrack,1,1
kantu,0,1
samantha,6,0
aof,0,1
agaim,0,1
jamal,1,0
tiramisu,1,1
luvo,0,1
riff,2,2
englund,0,2
summertim,3,2
sell,44,63
imu,0,1
state,80,62
chocahol,1,0
dowwwwn,1,0
taun,0,1
dha,0,1
quimica,1,0
remeberd,1,0
cbj,1,0
noooot,1,0
bilder,1,0
shannonmyleigh,0,1
huuurt,0,1
tangl,0,1
tryn,0,2
charelston,0,1
cryyyyyyyyyyi,0,1
blackaricanma,0,1
washington,8,11
l8er,0,1
light,89,81
keri,7,4
twixt,1,0
quotimon,0,1
arrien,1,0
nod32,0,1
anton,1,0
chatroom,1,2
newmarket,1,1
wholllee,1,1
vintag,6,6
gastric,0,1
colorarmi,0,1
tym,1,1
67,0,1
crosswind,1,0
fkuke,0,1
unbeaten,0,1
faction,2,1
protag,1,0
rhine,1,0
strave,0,1
350,1,1
noo,3,20
buena,4,1
ino,1,0
ecsuhl,0,1
wainright,1,0
angwaage,1,0
calvari,1,0
glitter,9,2
pudgi,0,1
remarri,0,1
holey,0,1
toscano,1,0
undertook,1,0
wese,1,0
muftianay,1,0
parodyshow,1,0
achiev,11,8
mph,5,6
janni,1,0
elsewher,6,5
jaeden,0,1
bikinian,1,0
bifidobacterium,1,0
tireedddddd,0,1
barkley,1,1
omgzorzroflmaomglol,1,0
theoret,1,2
christoph,7,6
jkt,0,2
probbali,1,0
dah,6,1
skarsgrd,1,0
austen,0,2
fuday,1,0
pooooo,0,1
republican,3,3
sendin,0,1
rasher,0,1
loch,1,1
vergeten,0,1
sail,4,4
fireflight,1,0
fulll,1,0
understood,9,11
catch,165,152
megatorr,1,0
plex,1,1
user,49,33
fortfeest,1,0
gotchu,2,0
blore,0,1
dumpl,3,0
modx,1,0
chica,4,3
ipshit,0,1
biten,0,1
master,18,15
bkk,0,1
bahahaha,7,0
seriosuli,1,0
quothrealltpoet,1,0
ramsey,0,1
mudkipz,1,0
obi,2,1
okaaayi,2,0
waaaa,0,2
critter,2,0
grub,2,3
moro,10,28
pk11,1,0
moooorniiiiii,0,1
housewifey,1,0
nomerci,0,1
pervert,1,1
drm,1,0
bbc1,1,0
tiago,1,0
bob,33,15
fate,2,8
fifth,7,2
buttt,0,2
lui,0,1
california,25,46
tharaaaaaaaa,0,1
nombr,1,0
groundwork,1,0
neglect,7,12
belong,9,15
whaddup,1,0
cardigan,3,1
vokda,1,0
livest,0,1
respondin,0,1
remmmm,1,0
fooood,1,0
baaaaaad,0,2
fractuou,0,2
plate,11,7
rsrch,1,0
pianist,0,1
xena,1,0
nerrrr,0,1
href,0,1
socialscop,1,0
russssssssyyyysysysysi,1,0
ahhahahaa,1,0
heheheheheh,1,0
fahk,0,1
vari,3,1
caldereta,1,0
germandoo,3,0
